
Page: 3/15 | Game: 24/150 | Kept Games: 0\24 | Game Took: 00:00:00 | Page: Took: 00:00:06 | Total Elapsed: 00:00:29
Page: 3/15 | Game: 25/150 | Kept Games: 0\25 | Game Took: 00:00:00 | Page: Took: 00:00:07 | Total Elapsed: 00:00:29
Page: 3/15 | Game: 26/150 | Kept Games: 0\26 | Game Took: 00:00:00 | Page: Took: 00:00:08 | Total Elapsed: 00:00:30
Page: 3/15 | Game: 27/150 | Kept Games: 1\27 | Game Took: 00:00:01 | Page: Took: 00:00:10 | Total Elapsed: 00:00:32
Page: 3/15 | Game: 28/150 | Kept Games: 1\28 | Game Took: 00:00:00 | Page: Took: 00:00:10 | Total Elapsed: 00:00:33
Page: 3/15 | Game: 29/150 | Kept Games: 1\29 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:00:34
Page: 3/15 | Game: 30/150 | Kept Games: 1\30 | Game Took: 00:00:00 | Page: Took: 00:00:12 | Total Elapsed: 00:00:35
Page: 4/15 | Game: 31/150 | Kept Games: 1\31 | Game Took: 00:00:00 | Page: Took: 00:00:05 | Total Elapsed: 00:00:40
Page: 4/15 | Game: 32/150 | Kept Games: 1\32 | Game Took: 00:00:01 | Page: Took: 00:00:06 | Total Elapsed: 00:00:41
Page: 4/15 | Game: 33/150 | Kept Games: 1\33 | Game Took: 00:00:00 | Page: Took: 00:00:07 | Total Elapsed: 00:00:42
Page: 4/15 | Game: 34/150 | Kept Games: 1\34 | Game Took: 00:00:01 | Page: Took: 00:00:08 | Total Elapsed: 00:00:43
Page: 4/15 | Game: 35/150 | Kept Games: 1\35 | Game Took: 00:00:00 | Page: Took: 00:00:08 | Total Elapsed: 00:00:44
Page: 4/15 | Game: 36/150 | Kept Games: 1\36 | Game Took: 00:00:00 | Page: Took: 00:00:09 | Total Elapsed: 00:00:44
Page: 4/15 | Game: 37/150 | Kept Games: 1\37 | Game Took: 00:00:00 | Page: Took: 00:00:10 | Total Elapsed: 00:00:45
Page: 4/15 | Game: 38/150 | Kept Games: 1\38 | Game Took: 00:00:01 | Page: Took: 00:00:12 | Total Elapsed: 00:00:47
Page: 4/15 | Game: 39/150 | Kept Games: 1\39 | Game Took: 00:00:00 | Page: Took: 00:00:12 | Total Elapsed: 00:00:48
Page: 4/15 | Game: 40/150 | Kept Games: 1\40 | Game Took: 00:00:00 | Page: Took: 00:00:13 | Total Elapsed: 00:00:48
Page: 5/15 | Game: 41/150 | Kept Games: 1\41 | Game Took: 00:00:00 | Page: Took: 00:00:03 | Total Elapsed: 00:00:52
Page: 5/15 | Game: 42/150 | Kept Games: 1\42 | Game Took: 00:00:00 | Page: Took: 00:00:04 | Total Elapsed: 00:00:53
Page: 5/15 | Game: 43/150 | Kept Games: 1\43 | Game Took: 00:00:00 | Page: Took: 00:00:05 | Total Elapsed: 00:00:54
